ME ID	Canonical form
DCM02222	iemand zal iemand het gevoel geven
DCM02223	iemand zal iemand het gras onder de voeten wegmaaien
DCM02224	iemand zal iemand het gras voor de voeten wegmaaien
DCM02225	iemand zal iemand het heilige kruis achternageven
DCM02226	iemand zal iemand het heilige kruis nageven
DCM02227	iemand zal iemand het hemd van het lichaam vragen
DCM02228	iemand zal iemand het hof maken
DCM02229	iemand zal iemand het hoofd op hol brengen
DCM02230	iemand zal iemand het leven zuur maken
DCM02231	iemand zal iemand het licht betimmeren
DCM02232	iemand zal iemand het mes op de keel zetten
DCM02233	iemand zal iemand het vel over de oren halen
DCM02234	iemand zal iemand het vuur aan de schenen leggen
DCM02235	iemand zal iemand het vuur na aan de schenen leggen
DCM02236	iemand zal iemand het vuur na de schenen leggen
DCM02237	iemand zal iemand het zicht op iets ontnemen
DCM02238	iemand zal iemand het zwijgen opleggen
DCM02239	iemand zal iemand honig om de mond smeren
DCM02240	iemand zal iemand honing om de mond smeren
DCM02241	iemand zal iemand hoorns opzetten
DCM02242	iemand zal iemand iets aan de hand doen
DCM02243	iemand zal iemand iets aankalken
DCM02244	iemand zal iemand iets aansmeren
DCM02245	iemand zal iemand iets bakken
DCM02246	iemand zal iemand iets betaald zetten
DCM02247	iemand zal iemand iets diets maken
DCM02248	iemand zal iemand iets door de neus boren
DCM02249	iemand zal iemand iets door de neus wrijven
DCM02250	iemand zal iemand iets in de mond geven
DCM02251	iemand zal iemand iets in de schoenen schuiven
DCM02252	iemand zal iemand iets in het oor bijten
DCM02253	iemand zal iemand iets inpeperen
DCM02254	iemand zal iemand iets kwalijk nemen
DCM02255	iemand zal iemand iets lappen
DCM02256	iemand zal iemand iets laten weten
DCM02257	iemand zal iemand iets laten zien
DCM02258	iemand zal iemand iets 0niet aan de neus hangen
DCM02259	iemand zal iemand iets 0niet aanzeggen
DCM02260	iemand zal iemand iets onder de neus wrijven
DCM02261	iemand zal iemand iets op de mouw spelden
DCM02262	iemand zal iemand iets op zijn boterham geven
DCM02263	iemand zal iemand iets op zijn brood geven
DCM02264	iemand zal iemand iets recht in zijn gezicht zeggen
DCM02265	iemand zal iemand iets te goede houden
DCM02266	iemand zal iemand iets ten goede houden
DCM02267	iemand zal iemand iets uit handen slaan
DCM02268	iemand zal iemand iets voor de voeten gooien
DCM02269	iemand zal iemand iets voor de voeten werpen
DCM02270	iemand zal iemand iets wijsmaken
DCM02271	iemand zal iemand in de arm nemen
DCM02272	iemand zal iemand in de kaart kijken
DCM02273	iemand zal iemand in de kaart zien
DCM02274	iemand zal iemand in de krop steken
DCM02275	iemand zal iemand in de luren leggen
DCM02276	iemand zal iemand in de maling nemen
DCM02277	iemand zal iemand in de nek zien
DCM02278	iemand zal iemand in de peiling houden
DCM02279	iemand zal iemand in de problemen brengen
DCM02280	iemand zal iemand in de rede vallen
DCM02281	iets|iemand zal iets|iemand in de schaduw stellen
DCM02282	iemand zal iemand in de val lokken
DCM02283	iemand zal iemand in de veiling nemen
DCM02284	iemand zal iemand in de veiling zetten
DCM02285	iemand zal iemand in de war brengen
DCM02286	iemand zal iemand in de wielen rijden
DCM02287	iemand zal iemand in de windselen leggen
DCM02288	iemand zal iemand in de zadel helpen
DCM02289	iemand zal iemand in de zadel zetten
DCM02290	iemand zal iemand in de zeef nemen
DCM02291	iemand zal iemand in goud beslaan
DCM02292	iemand zal iemand in het gareel slaan
DCM02293	iemand zal iemand in het hart raken
DCM02294	iemand zal iemand in het ootje nemen
DCM02295	iemand zal iemand in het vaarwater zitten
DCM02296	iemand zal iemand in het zonnetje zetten
DCM02297	iemand zal iemand in slaap wiegen
DCM02298	iemand zal iemand in toom houden
DCM02299	iemand zal iemand in vertrouwen nemen
DCM02300	iemand zal iemand in zijn eigen sop laten gaar koken
DCM02301	iemand zal iemand in zijn eigen sop laten gaar smoren
DCM02302	iemand zal iemand in zijn eigen vet  gaar laten koken
DCM02303	iemand zal iemand in zijn eigen vet laten gaar smoren
DCM02304	iemand zal iemand in zijn macht hebben
DCM02305	iemand zal iemand in zijn vaarwater zitten
DCM02306	iemand zal iemand in zijn zwak tasten
DCM02307	iemand zal iemand in zijn zwak vatten
DCM02308	iemand zal iemand kamp geven
DCM02309	iemand zal iemand kapittelen
DCM02310	iemand zal iemand kisten
DCM02311	iemand zal iemand klare wijn schenken
DCM02312	iemand zal iemand klein krijgen
DCM02313	iemand zal iemand klem hebben
DCM02314	iemand zal iemand knollen voor citroenen verkopen
DCM02315	iemand zal iemand kort houden
DCM02316	iemand zal iemand kunnen maken en breken
DCM02317	iemand zal iemand lagen leggen
DCM02318	iemand zal iemand laten fluiten
DCM02319	iemand zal iemand laten lopen
DCM02320	iemand zal iemand laten vallen
DCM02321	iemand zal iemand laten zitten
DCM02322	iemand zal iemand liefhebben als de appel zijner ogen
DCM02323	iemand zal iemand links laten liggen
DCM02324	iemand zal iemand met de nek aanzien
DCM02325	iets zal iemand met de pap ingegeven zijn
DCM02326	iets zal iemand met de paplepel ingegeven zijn
DCM02327	iemand zal iemand met de vinger nawijzen
DCM02328	iemand zal iemand met dezelfde munt betalen
DCM02329	iemand zal iemand met een kluit in het riet sturen
DCM02330	iemand zal iemand met een kluitje in het riet sturen
DCM02331	iemand zal iemand met een natte vinger kunnen aanwijzen
DCM02332	iemand zal iemand met een natte vinger kunnen belopen
DCM02333	iemand zal iemand met een zacht lijntje tot iets brengen
DCM02334	iemand zal iemand met een zoet lijntje tot iets brengen
DCM02335	iemand zal iemand met gelijke munt betalen
DCM02336	iemand zal iemand met iets afschepen
DCM02337	iemand zal iemand met iets bezig houden
DCM02338	iemand zal iemand met iets doodverven
DCM02339	iemand zal iemand met iets om de oren slaan
DCM02340	iemand zal iemand met open armen ontvangen
DCM02341	iemand zal iemand met open mond nakijken
DCM02342	iemand zal iemand met schorpioenen geselen
DCM02343	iemand zal iemand monddood maken
DCM02344	iemand zal iemand mores leren
DCM02345	iemand zal iemand naar de kroon steken
DCM02346	iemand zal iemand naar de mond praten
DCM02347	iemand zal iemand naar de ogen zien
DCM02348	iemand zal iemand naar de slachtbank leiden
DCM02349	iemand zal iemand naar zijn mond praten
DCM02350	iemand zal iemand 0niet aangaan
DCM02351	iets zal iemand 0niet in de kleren gaan zitten
DCM02352	iemand zal iemand 0niet in de koude kleren gaan zitten
DCM02353	iemand zal iemand 0niet kunnen luchten of zien
DCM02354	iets zal iemand 0niet lekker zitten
DCM02355	iemand zal iemand 0niet voor vol aanzien
DCM02356	iemand zal iemand nemen
DCM02357	iets zal iemand 0niet kunnen bommen
DCM02358	iemand zal iemand niets cadeau doen
DCM02359	iets zal iemand 0niets kunnen bommen
DCM02360	iemand zal iemand om de  vinger winden
DCM02361	iemand zal iemand om  zijn vinger winden
DCM02362	iemand zal iemand om de tuin leiden
DCM02363	iemand zal iemand om de vinger kunnen winden
DCM02364	iemand zal iemand om een dakschaar sturen
DCM02365	iemand zal iemand om zeep brengen
DCM02366	iemand zal iemand omstaan leren
DCM02367	iemand zal iemand onder < grote> druk zetten
DCM02368	iemand zal iemand onder appèl houden
DCM02369	iemand zal iemand onder de sim hebben
DCM02370	iemand zal iemand onder druk zetten
DCM02371	iemand zal iemand onder het sim hebben
DCM02372	iemand zal iemand onder zijn hoede nemen
DCM02373	iemand zal iemand op de dijk jagen
DCM02374	iemand zal iemand op de dijk zetten
DCM02375	iemand zal iemand op de hakken zijn
DCM02376	iemand zal iemand op de hakken zitten
DCM02377	iemand zal iemand op de handen dragen
DCM02378	iemand zal iemand op de hielen zijn
DCM02379	iemand zal iemand op de hielen zitten
DCM02380	iemand zal iemand op de hoogte brengen
DCM02381	iemand zal iemand op de keien smijten
DCM02382	iemand zal iemand op de keien zetten
DCM02383	iemand zal iemand op de knieën krijgen
DCM02384	iemand zal iemand op de leden liggen
DCM02385	iemand zal iemand op de lip zitten
DCM02386	iemand zal iemand op de stang rijden
DCM02387	iemand zal iemand op de vingers geven
DCM02388	iemand zal iemand op de vingers kijken
DCM02389	iemand zal iemand op de vingers tikken
DCM02390	iemand zal iemand op een duit gelijken
DCM02391	iemand zal iemand op handen dragen
DCM02392	iemand zal iemand op het gemak stellen
DCM02393	iemand zal iemand op het mad komen
DCM02394	iemand zal iemand op het mat komen
DCM02395	iemand zal iemand op het matje roepen
DCM02396	iemand zal iemand op het sleeptouw nemen
DCM02397	iemand zal iemand op heterdaad betrappen
DCM02398	iemand zal iemand op sleeptouw houden
DCM02399	iemand zal iemand op sleeptouw nemen
DCM02400	iemand zal iemand op stang jagen
DCM02401	iemand zal iemand op vrije voeten stellen
DCM02402	iemand zal iemand op zijn achterste zolder jagen
DCM02403	iemand zal iemand op zijn falie geven
DCM02404	iemand zal iemand op zijn hand hebben
DCM02405	iemand zal iemand op zijn huid geven
DCM02406	iemand zal iemand op zijn nummer zetten
DCM02407	iemand zal iemand op zijn plaats zetten
DCM02408	iemand zal iemand op zijn tabernakel komen
DCM02409	iemand zal iemand op zijn tabernakel spelen
DCM02410	iemand zal iemand op zijn vestje spuwen
DCM02411	iemand zal iemand op zijn voorman zetten
DCM02412	iemand zal iemand op zijn zeer tasten
DCM02413	iemand zal iemand op zijn zeer trappen
DCM02414	iemand zal iemand op zijn zeer treden
DCM02415	iemand zal iemand op zijn ziel geven
DCM02416	iemand zal iemand over de hekel halen
DCM02417	iemand zal iemand over de schouder aanzien
DCM02418	iets zal iemand over het hoofd groeien
DCM02419	iemand zal iemand over het paard tillen
DCM02420	iemand zal iemand over iets aan de tand voelen
DCM02421	iemand zal iemand over iets in vertrouwen nemen
DCM02422	iemand zal iemand overhoop schieten
DCM02423	iemand zal iemand overhoop steken
DCM02424	iets zal iemand *parten spelen
DCM02425	iemand zal iemand pesten
DCM02426	iemand zal iemand pieren
DCM02427	iemand zal iemand pluimstrijken
DCM02428	iemand zal iemand smeer geven
DCM02429	iets zal iemand staan
DCM02430	iemand zal iemand tantaliseren
DCM02431	iets zal iemand te binnen schieten
DCM02432	iemand zal iemand te grazen hebben
DCM02433	iemand zal iemand te grazen krijgen
DCM02434	iemand zal iemand te grazen nemen
DCM02435	iemand zal iemand|iets te gronde richten
DCM02436	iemand zal iemand te kakken zetten
DCM02437	iemand zal iemand te lijf gaan 
DCM02438	iemand zal iemand te min zijn
DCM02439	iemand zal iemand te na gaan
DCM02440	iemand zal iemand te na komen
DCM02441	iemand zal iemand te na spreken
DCM02442	iemand zal iemand te rusten leggen
DCM02443	iemand zal iemand te veel worden
DCM02444	iemand zal iemand te vlug af zijn
DCM02445	iemand zal iemand te woord staan
DCM02446	iets zal iemand tegen de borst stuiten
DCM02447	iets zal iemand tegen de borst zijn
DCM02448	iemand zal iemand tegen zich in het harnas jagen
DCM02449	iemand zal iemand teleurstellen
DCM02450	iemand zal iemand ten val brengen
DCM02451	iemand zal iemand ter wille zijn
DCM02452	iemand zal iemand terecht wijzen
DCM02453	iemand zal iemand terecht zetten
DCM02454	iemand zal iemand tot bedaren brengen
DCM02455	iemand zal iemand tot het hemd toe uitkleden
DCM02456	iemand zal iemand tot iets brengen
DCM02457	iemand zal iemand tot ridder slaan
DCM02458	iemand zal iemand tot stilte manen
DCM02459	iemand zal iemand troef geven
DCM02460	iemand zal iemand tuk hebben
DCM02461	iemand zal iemand uit de droom helpen
DCM02462	iemand zal iemand uit de weg ruimen
DCM02463	iemand zal iemand uit de zadel lichten
DCM02464	iemand zal iemand uit het zadel lichten
DCM02465	iemand zal iemand uit zijn doen brengen
DCM02466	iemand zal iemand uit zijn tent lokken
DCM02467	iemand zal iemand uitgeleide doen
DCM02468	iemand zal iemand uitmaken dat de honden er 0geen brood van zouden eten
DCM02469	iemand zal iemand van bakboord naar stuurboord zenden
DCM02470	iemand zal iemand van de baan knikkeren
DCM02471	iemand zal iemand van de huig lichten
DCM02472	iemand zal iemand van de taart geven
DCM02473	iemand zal iemand van de wal in de sloot helpen
DCM02474	iemand zal iemand van het kastje naar de muur sturen
DCM02475	iemand zal iemand van het kastje naar de muur zenden
DCM02476	iemand zal iemand van kant helpen
DCM02477	iemand zal iemand van kant maken
DCM02478	iemand zal iemand van Pontius naar Pilatus sturen
DCM02479	iemand zal iemand van Pontius naar Pilatus zenden
DCM02480	iemand zal iemand van stuurboord naar bakboord zenden
DCM02481	iemand zal iemand verlakken
DCM02482	iemand zal iemand verneuken
DCM02483	iemand zal iemand verneuriën
DCM02484	iemand zal iemand vliegen afvangen
DCM02485	iemand zal iemand voeten maken
DCM02486	iemand zal iemand voor de gek houden
DCM02487	iemand zal iemand voor de maf houden
DCM02488	iemand zal iemand voor de mal houden
DCM02489	iemand zal iemand voor het lapje houden
DCM02490	iemand zal iemand voor het mafje houden
DCM02491	iemand zal iemand voor mal houden
DCM02492	iemand zal iemand voor vol aanzien
DCM02493	iemand zal iemand weder in de zadel helpen
DCM02494	iemand zal iemand weder in de zadel zetten
DCM02495	iemand zal iemand zand in de ogen strooien
DCM02496	iemand zal iemand zand in de ogen werpen
DCM02497	iemand zal iemand zielsliefhebben
DCM02498	iemand zal iemand zijn breezij tonen
DCM02499	iemand zal iemand zijn hof maken
DCM02500	iemand zal iemand zijn hoofd tussen twee oren zetten
DCM02501	iemand zal iemand zijn neus tussen twee oren zetten
DCM02502	iemand zal iemand zijn paspoort geven
DCM02503	iemand zal iemand zijn planeet lezen
DCM02504	iemand zal iemand zijn vet geven
DCM02505	iemand zal iemand zijn zak geven
DCM02506	iemand zal iemand zijn zin geven
DCM02507	iets|iemand zal iemand *zorgen baren
DCM02508	iemand zal iemand zuur opbreken
DCM02509	iemand zal iemand zwart maken
DCM02510	iemand zal iemands blik zoeken
DCM02511	iemand zal iemands doopceel lichten
DCM02512	iemand zal iemands gangen nagaan
DCM02513	iemands haan zal koning kraaien
DCM02514	iemands haan zal koning zijn
DCM02515	iemands handel en wandel
DCM02516	iemand zal iemands hart breken
DCM02517	iemands hart zal in de keel schieten
DCM02518	iemands hart zal in zijn keel bonken
DCM02519	iemands jasje zal waaien zoals de wind waait
DCM02520	iemands knieën zullen knikken
DCM02521	iemands kost zal gekocht zijn
DCM02522	iemand zal iemands koude kleren 0niet raken
DCM02523	iemands leven zal aan een zijden draadje hangen
DCM02524	iemand zal iemands leven tot een hel maken
DCM02525	iemand zal iemands levensdraad afsnijden
DCM02526	iemand zal iemands macht fnuiken
DCM02527	iemands ogen zullen groter dan zijn buik zijn
DCM02528	iemands ogen zullengroter dan zijn maag zijn
DCM02529	iemand zal iemands oor bezitten
DCM02530	iemand zal iemands oor hebben
DCM02531	iemand zal iemands pad kruisen
DCM02532	iemand zal iemands plaats innemen
DCM02533	iemands rokje zalwaaien zoals de wind waait
DCM02534	iemand zal iemands rug op kunnen
DCM02535	iemands snoeren zullen in liefelijke plaatsen gevallen zijn
DCM02536	iemand zal iemands voetstappen drukken
DCM02537	iemand zal iemands ziel vermoorden
DCM02538	iemand zal iest in de hand werken
DCM02539	iemand zal iets |  iemand in de gaten houden
DCM02541	iemand zal iets | iemand kort en klein slaan
DCM02542	iemand zal iets | iemand nodig hebben
DCM02543	iemand zal iets | iemand om zeep helpen
DCM02544	iemand zal iets | iemand op de keper bekijken
DCM02545	iemand zal iets | iemand op de keper beschouwen
DCM02546	iemand zal iets | iemand op de korrel nemen
DCM02547	iemand zal iets | iemand op het tapijt brengen
DCM02548	iemand zal iets | iemand op zijn dak krijgen
DCM02549	iemand zal iets | iemand over dezelfde kam scheren
DCM02550	iemand zal iets | iemand over één kam scheren
DCM02551	iemand zal iets aan de balk schrijven
DCM02552	iemand zal iets aan de grote klok hangen
DCM02553	iemand zal iets aan de klok hangen
DCM02554	iemand zal iets aan de wilgen hangen
DCM02555	iemand zal iets aan de zolen van zijn schoenen kunnen schrijven
DCM02556	iemand zal iets aan diggelen gooien
DCM02557	iemand zal iets aan flarden scheuren
DCM02558	iemand zal iets aan zijn botten lappen
DCM02559	iemand zal iets aan zijn botten plakken
DCM02560	iemand zal iets aan zijn hielen lappen
DCM02561	iemand zal iets aan zijn hielen plakken
DCM02562	iemand zal iets aan zijn laars lappen
DCM02563	iemand zal iets aan zijn laars plakken
DCM02564	iemand zal iets aan zijn water voelen
DCM02565	iemand zal iets aan zijn zolen lappen
DCM02566	iemand zal iets aan zijn zolen plakken
DCM02567	iemand zal iets achter de hand hebben
DCM02568	iemand zal iets achter de oren knopen
DCM02569	iemand zal iets achter het oor knopen
DCM02570	iemand zal iets achterbaks houden
DCM02571	iemand zal iets bekokstoven
DCM02572	iemand zal iets beu zijn
DCM02573	iemand zal iets bewimpelen
DCM02574	iemand zal iets bij zijn neus langs zeggen
DCM02575	iemand zal iets blauw blauw laten
DCM02576	iemand zal iets blauwblauw laten
DCM02577	iemand zal iets de kop indrukken
DCM02578	iemand zal iets een zetje in de goede richting geven
DCM02579	iemand zal iets gestand doen
DCM02580	iemand zal iets het hoofd bieden
DCM02581	iemand zal iets iemand op een briefje geven
DCM02582	iemand zal iets in al zijn geuren en kleuren vertellen
DCM02583	iemand zal iets in de doofpot stoppen
DCM02584	iemand zal iets in de lap laten hangen
DCM02585	iemand zal iets in de neus hebben
DCM02586	iemand zal iets in de neus krijgen
DCM02587	iemand zal iets in de oren knopen
DCM02588	iemand zal iets in de pocket hebben
DCM02589	iemand zal iets in de waagschaal stellen
DCM02590	iemand zal iets in de wacht slepen
DCM02591	iemand zal iets in de wind slaan
DCM02592	iemand zal iets in ere herstellen
DCM02593	iemand zal iets in geuren en kleuren vertellen
DCM02594	iemand zal iets in goede banen leiden
DCM02595	iemand zal iets in het gelijk breien
DCM02596	iemand zal iets in het midden laten
DCM02597	iemand zal iets in het oor knopen
DCM02598	iemand zal iets in het riet laten lopen
DCM02599	iemand zal iets in het riet lopen
DCM02600	iemand zal iets in het riet sturen
DCM02601	iemand zal iets in het schild hebben
DCM02602	iemand zal iets in het schild voeren
DCM02603	iemand zal iets in het vet hebben
DCM02604	iemand zal iets in iemand naar boven halen
DCM02605	iemand zal iets In pacht hebben
DCM02606	iemand zal iets in petto hebben
DCM02607	iemand zal iets in petto houden
DCM02608	iemand zal iets in scène zetten
DCM02609	iemand zal iets in zijn schild hebben
DCM02610	iemand zal iets in zijn schild voeren
DCM02611	iemand zal iets in zijn zak kunnen steken
DCM02612	iemand zal iets in zijn zak steken
DCM02613	iemand zal iets kennen als het ABC
DCM02614	iemand zal iets langs zijn kant laten gaan
DCM02615	iemand zal iets langs zijn neus weg zeggen
DCM02616	iemand zal iets machtig zijn
DCM02617	iemand zal iets meester zijn
DCM02618	iemand zal iets met argusogen bekijken
DCM02619	iemand zal iets met de dood moeten bekopen
DCM02620	iemand zal iets met de hand op zijn hart beloven
DCM02621	iemand zal iets met de hete naald maken
DCM02622	iemand zal iets met de mantel der liefde bedekken
DCM02623	iemand zal iets met de moedermelk inzuigen
DCM02624	iemand zal iets met een greintje zout opvatten
DCM02625	iemand zal iets met een korreltje zout opvatten
DCM02626	iemand zal iets met een krijtje aan de balk schrijven
DCM02627	iemand zal iets met een lantaarntje zoeken
DCM02628	iemand zal iets met een zwarte kool tekenen
DCM02629	iemand zal iets met schele ogen aanzien
DCM02630	iemand zal iets met voeten treden
DCM02631	iemand zal iets moe zijn
DCM02632	iemand zal iets naast zich neerleggen
DCM02633	iemand zal iets 0niet onder stoelen of banken steken
DCM02634	iemand zal iets 0niet van zich af kunnen zetten
DCM02635	iemand zal iets 0niet over zijn hart kunnen krijgen
DCM02636	iemand zal iets 0niet over zijn hart kunnen verkrijgen
DCM02637	iemand zal iets nog nooit op de viool hebben horen spelen
DCM02638	iemand zal iets om de leus doen
DCM02639	iemand zal iets om handen hebben
DCM02640	iemand zal iets om iemand heen slaan
DCM02641	iemand zal iets omhanden hebben
DCM02642	iemand zal iets onder de knie hebben
DCM02643	iemand zal iets onder de knie krijgen
DCM02644	iemand zal iets onder de leden hebben
DCM02645	iemand zal iets onderste boven gooien
DCM02646	iemand zal iets onderste boven smijten
DCM02647	iemand zal iets op de bof kopen
DCM02648	iemand zal iets op de kop tikken
DCM02649	iemand zal iets op de lange baan schuiven
DCM02650	iemand zal iets op de pof kopen
DCM02651	iemand zal iets op de spits drijven
DCM02652	iemand zal iets op de tocht zetten
DCM02653	iemand zal iets op dezelfde leest schoeien
DCM02654	iemand zal iets op een prik weten
DCM02655	iemand zal iets op getouw zetten
DCM02656	iemand zal iets op haren en snaren stellen
DCM02657	iemand zal iets op haren en snaren zetten
DCM02658	iemand zal iets op het getouw zetten
DCM02659	iemand zal iets op het spoor zijn
DCM02660	iemand zal iets op het touw zetten
DCM02661	iemand zal iets op iemand verhalen 
DCM02662	iemand zal iets op touw zetten
DCM02663	iemand zal iets op zijn bord krijgen
DCM02664	iemand zal iets op zijn brood krijgen
DCM02665	iemand zal iets op zijn buik schrijven
DCM02666	iemand zal iets op zijn duim kennen
DCM02667	iemand zal iets op zijn duim weten
DCM02668	iemand zal iets op zijn duimpje kennen
DCM02669	iemand zal iets op zijn duimpje weten
DCM02670	iemand zal iets op zijn kerfstok hebben
DCM02671	iemand zal iets op zijn lever hebben
DCM02672	iemand zal iets op zijn slofjes afkunnen
DCM02673	iemand zal iets over de balk gooien
DCM02674	iemand zal iets over een andere boeg gooien
DCM02675	iemand zal iets over een andere boeg wenden
DCM02676	iemand zal iets over zich hebben
DCM02677	iemand zal iets over zich heen krijgen
DCM02678	iemand zal iets over zijn kant laten gaan
DCM02679	iemand zal iets soldaat maken
DCM02680	iemand zal iets te berde brengen
DCM02681	iemand zal iets te boven komen
DCM02682	iemand zal iets te goê houden
DCM02683	iemand zal iets te goed houden
DCM02684	iemand zal iets te grabbel gooien
DCM02685	iemand zal iets te weten komen
DCM02686	iemand zal iets ten beste geven
DCM02687	iemand zal iets ter hand nemen
DCM02688	iemand zal iets ter sprake brengen
DCM02689	iemand zal iets tot leven wekken
DCM02690	iemand zal iets uit de mouw schudden
DCM02691	iemand zal iets uit de vinger zuigen
DCM02692	iemand zal iets uit de wereld helpen
DCM02693	iemand zal iets uit zijn duim zuigen
DCM02694	iemand zal iets van de zonnige kant zien
DCM02695	iemand zal iets van de zonnige zijde zien
DCM02696	iemand zal iets van iemand te horen krijgen
DCM02697	iemand zal iets van node hebben
DCM02698	iemand zal iets van plan zijn
DCM02699	iemand zal iets van zich af zetten
DCM02700	iemand zal iets van zich afzetten
DCM02701	iemand zal iets van zijn gading vinden
DCM02702	iemand zal iets verbloemen
DCM02703	iemand zal iets verdonkeremanen
DCM02704	iemand zal iets verdraaien
DCM02705	iemand zal iets voor de boeg hebben
DCM02706	iemand zal iets voor de leus doen
DCM02707	iemand zal iets voor een prikje kopen
DCM02708	iemand zal iets voor elkaar krijgen
DCM02709	iemand zal iets voor gangbare munt aannemen
DCM02710	iemand zal iets voor gangbare munt opnemen
DCM02711	iemand zal iets voor goede munt aannemen
DCM02712	iemand zal iets voor goede munt opnemen
DCM02713	iemand zal iets voor het mes hebben
DCM02714	iemand zal iets voor ogen hebben
DCM02715	iemand zal iets voor zich houden
DCM02716	iemand zal iets voor zoete koek opeten opnemen
DCM02717	iemand zal iets voor zoete koek opeten slikken
DCM02718	iemand zal iets wel zien zitten
DCM02719	iemand zal iets zwart op wit hebben
DCM02721	ijs en weder dienende
DCM02723	ijzeren hein
DCM02725	Ik zal dood mogen vallen <als dat waar is>
DCM02726	ik zal dood vallen  <als dat waar is>
DCM02727	iemand zal in  de bres springen
DCM02728	iemand zal in <vervallen> staat zijn
DCM02729	iemand zal in Abrahams schoot zitten
DCM02730	iemand zal in adamskostuum lopen
DCM02731	iemand zal in afwachting van iets zijn
DCM02732	in alle hoeken en gaten
DCM02733	in alle hoeken en gaten van iets
DCM02734	iemand zal in alle staten zijn
DCM02735	iemand zal in alle talen zwijgen
DCM02736	in arren moede
DCM02737	iemand zal in behouden haven zijn
DCM02738	iemand zal in beroep  tegen iets gaan
DCM02739	iemand zal in beweging zijn
DCM02740	in bonis
DCM02741	iemand zal in conclaaf gaan
DCM02742	iemand zal in de aanbieding zijn
DCM02743	iemand zal in de aanval gaan
DCM02744	iemand zal in de aap gelogeerd zijn
DCM02745	iemand zal in de bocht springen
DCM02746	iemand zal in de bonen zijn
DCM02747	iemand zal in de brand  zitten
DCM02748	iemand zal in de bres  staan
DCM02749	iemand zal in de bres springen voor iemand
DCM02750	iemand zal in de bus blazen
DCM02751	iemand zal in de contramine zijn
DCM02752	in de dagen van olim
DCM02753	iemand zal in de doos zitten
DCM02754	iemand zal in de ene hand water en in de andere vuur dragen
DCM02755	iemand zal in de es zijn
DCM02756	iemand zal in de file staan
DCM02757	iemand zal in de flank vallen
DCM02758	iemand zal in de fuik zijn
DCM02759	iemand zal in de gelegenheid zijn
DCM02760	iemand zal in de geur staan
DCM02761	iets zal in de haak zijn
DCM02762	iemand zal in de hand komen
DCM02763	iemand zal in de hand vallen
DCM02764	iemand zal in de heer zijn
DCM02765	iemand zal in de here zijn
DCM02766	in de hoop dat <dit gebeurt>
DCM02767	iemand zal in de kaars vliegen
DCM02768	iemand zal in de kijker lopen
DCM02769	iemand zal in de kijkerd lopen
DCM02770	in de kleinste potjes zal  men de beste zalf bewaren
DCM02771	iemand zal in de klem raken
DCM02772	iemand zal in de klem zitten
DCM02773	iemand zal in de knoei zitten
DCM02774	iemand zal in de knoop zitten
DCM02775	iemand zal in de kou staan
DCM02776	iemand zal in de kraam komen
DCM02777	iemand zal in de kraam liggen
DCM02778	iemand zal in de kraam zijn
DCM02779	iemand zal in de kreukels liggen
DCM02780	iemand zal in de lach schieten
DCM02781	iemand zal in de lappenmand zijn
DCM02782	iets zal in de lift zitten
DCM02783	iemand zal in de lij liggen
DCM02784	iemand zal in de lij zijn
DCM02785	iemand zal in de lorum zijn
DCM02786	iemand zal in de lucht schermen
DCM02787	iemand zal in de maling zijn
DCM02788	iemand zal in de molen zitten
DCM02789	iemand zal in de nesten komen
DCM02790	iemand zal in de nesten raken
DCM02791	iemand zal in de nesten zitten
DCM02792	in de nood zal men zijn vrienden  leren kennen
DCM02793	iemand zal in de olie zijn
DCM02794	iemand zal in de pan hakken
DCM02795	iemand zal in de papieren lopen
DCM02796	iemand zal in de pas lopen
DCM02797	iemand zal in de pas staan
DCM02798	iemand zal in de pas zijn
DCM02799	iemand zal in de pé zijn
DCM02800	iemand zal in de pekel zitten
DCM02801	iemand zal in de penarie zitten
DCM02802	iemand zal in de penurie zitten
DCM02803	iemand zal in de picture zijn
DCM02804	iemand zal in de piepzak zitten
DCM02805	iemand zal in de pinarie zitten
DCM02806	iemand zal in de puntjes zijn
DCM02807	iemand zal in de puree zitten
DCM02808	iemand zal in de put zitten
DCM02809	iemand zal in de rats zitten
DCM02810	in de roos
DCM02811	iemand zal in de running zijn
DCM02812	iemand zal in de schijt zitten
DCM02813	iemand zal in de soep jagen
DCM02814	iemand zal in de soep laten lopen
DCM02815	iemand zal in de soep lopen
DCM02816	iemand zal in de termen vallen
DCM02817	iemand zal in de tredmolen lopen
DCM02818	iemand zal in de val geraken
DCM02819	iemand zal in de val lopen
DCM02820	iemand zal in de verdediging gaan
DCM02821	iemand zal in de verf staan
DCM02822	iemand zal in de verleiding komen
DCM02823	iemand zal in de war zijn
DCM02824	iemand zal in de weer zijn
DCM02825	iemand zal in de wol geverfd zijn
DCM02826	iemand zal in de wolken zijn
DCM02827	iemand zal in de zenuwen zitten
DCM02828	iemand zal in de zevende hemel zijn
DCM02829	iemand zal in dichte vaatjes zijn
DCM02830	iemand zal in dubio staan
DCM02831	iets zal in duigen vallen
DCM02832	iemand zal in een < goede> bui zijn
DCM02833	in een adem
DCM02834	iemand zal in een goed blaadje proberen te komen
DCM02835	iemand zal in een goed blaadje staan
DCM02836	iemand zal in een goede reuk staan
DCM02837	iemand zal in een ivoren toren zitten
